COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,28/09/2022,11881035,10929549,30.52,28.076,10245183,26.318,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",22/02/2021,11,,
Albania,ALB,EURO,REPORTING,18/09/2022,2974247,1336938,103.4,46.977,1262982,44.378,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",13/01/2021,5,356077,12.512
Algeria,DZA,AFRO,REPORTING,04/09/2022,15267442,7840131,34.817,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",30/01/2021,4,,
American Samoa,ASM,WPRO,REPORTING,23/08/2022,111316,44885,201.67,81.318,41423,75.046,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",21/12/2020,3,24160,43.77
Andorra,AND,EURO,REPORTING,11/09/2022,154235,57894,199.6,75.999,53480,70.205,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",20/01/2021,3,42861,56.265
Angola,AGO,AFRO,REPORTING,04/09/2022,22297104,14220830,67.842,43.269,7814121,23.776,SII - Covishield,10/03/2021,1,,
Anguilla,AIA,AMRO,REPORTING,16/09/2022,24102,10846,160.659,72.297,10314,68.751,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",05/02/2021,2,2942,19.611
Antigua and Barbuda,ATG,AMRO,REPORTING,16/09/2022,136512,64290,139.399,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01/03/2021,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,16/09/2022,109277682,41285663,241.787,91.349,37803566,83.644,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",29/12/2020,7,30509440,67.505
Armenia,ARM,EURO,REPORTING,22/05/2022,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",16/06/2021,8,40725,1.374
Aruba,ABW,AMRO,REPORTING,16/09/2022,173306,89761,162.323,84.073,83545,78.251,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",17/02/2021,2,,
Australia,AUS,WPRO,REPORTING,08/09/2022,63280978,22427304,248.162,87.951,21766240,85.358,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",21/02/2021,5,14227605,55.795
Austria,AUT,EURO,REPORTING,18/09/2022,19226645,6887651,216,77.483,6674397,74.984,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",30/12/2020,6,5332319,59.907
Azerbaijan,AZE,EURO,REPORTING,18/09/2022,13742472,5402833,135.5,53.287,4869847,48.03,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",20/01/2021,5,3469794,34.222
Bahamas,BHS,AMRO,REPORTING,16/09/2022,359002,172859,91.292,43.957,164305,41.782,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",14/03/2021,4,31626,8.042
Bahrain,BHR,EMRO,REPORTING,28/09/2022,3470831,1240586,203.978,72.908,1226026,72.052,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",04/11/2020,11,1004219,59.017
Bangladesh,BGD,SEARO,REPORTING,27/09/2022,299180594,131733366,181.664,79.989,121787630,73.95,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",27/01/2021,8,45659598,27.725
Barbados,BRB,AMRO,REPORTING,16/09/2022,374195,163445,130.211,56.875,154502,53.763,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",08/01/2021,5,56248,19.573
Belarus,BLR,EURO,REPORTING,18/09/2022,15582410,6501526,164.9,68.804,6390796,67.632,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",03/02/2021,4,2951428,31.234
